cave,country,countryCode,county,id,latitude,locations,longitude,name,names,region,riggings,massifs,massif
Rocheport Cave [Boone Cave],"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,20369,38.94555556,,-92.51638889,Rocheport Cave [Boone Cave],Rocheport Cave [Boone Cave],Missouri,,,
Fisher Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,20371,38.22722222,,-91.08444444,Fisher Cave,Fisher Cave,Missouri,,,
Meramec Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,20372,38.245,,-91.08916667,Meramec Caverns,Meramec Caverns,Missouri,,,
Fantastic Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Greene County,23532,37.287387,,-93.358501,Fantastic Caverns,Fantastic Caverns,Missouri,,,
Talking Rocks Cavern,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Stone County,23549,36.67944444,,-93.37805556,Talking Rocks Cavern,Talking Rocks Cavern,Missouri,,,
Devil's Icebox Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89875,38.870037,,-92.32713,Devil's Icebox Cave,Devil's Icebox Cave,Missouri,,,
Don Henry Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89876,38.86342509,,-92.27933994,Don Henry Cave,Don Henry Cave,Missouri,,,
Holton's Sink Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89877,39.01662251,,-92.41662001,Holton's Sink Cave,Holton's Sink Cave,Missouri,,,
Kirby Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89879,38.99,,-92.43444,Kirby Cave,Kirby Cave,Missouri,,,
Ralphord's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89882,38.81423321,,-92.14643564,Ralphord's Cave,Ralphord's Cave,Missouri,,,
Rutherford Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89884,38.81472,,-92.14583,Rutherford Cave,Rutherford Cave,Missouri,,,
Storm Cellar Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89887,38.81158048,,-92.27802527,Storm Cellar Cave,Storm Cellar Cave,Missouri,,,
Tower Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89888,38.83466255,,-92.28591134,Tower Cave,Tower Cave,Missouri,,,
Research Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Callaway County,89892,38.735628,,-91.7400171,Research Cave,Research Cave,Missouri,,,
Adkin's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89894,38.139822,,-93.022313,Adkin's Cave,Adkin's Cave,Missouri,,,
Bridal Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89896,38.023456,,-92.791915,Bridal Cave,Bridal Cave,Missouri,,,
Carroll Cave Backdoor Entrance,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89898,37.94527377,,-92.53652495,Carroll Cave Backdoor Entrance,Carroll Cave Backdoor Entrance,Missouri,,,
Carroll Cave Natural Entrance,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89899,37.941435,,-92.514118,Carroll Cave Natural Entrance,Carroll Cave Natural Entrance,Missouri,,,
Counterfeiters' Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89900,37.97337944,,-92.7648012,Counterfeiters' Cave,Counterfeiters' Cave,Missouri,,,
Mole's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89908,38.169114,,-93.055658,Mole's Cave,Mole's Cave,Missouri,,,
Cave Spring,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89852,36.783648,,-93.655872,Cave Spring,Cave Spring,Missouri,,,
Onyx Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89910,37.971978,,-92.809496,Onyx Cave,Onyx Cave,Missouri,,,
Crystal Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89854,36.695,,-93.86861,Crystal Caverns,Crystal Caverns,Missouri,,,
Ozark Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89911,38.054343,,-92.583976,Ozark Caverns,Ozark Caverns,Missouri,,,
Flintrock Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89855,36.537812,,-93.800368,Flintrock Cave,Flintrock Cave,Missouri,,,
Perkins Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89912,37.97236411,,-92.50712641,Perkins Cave,Perkins Cave,Missouri,,,
McCann Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89856,36.526984,,-93.920918,McCann Cave,McCann Cave,Missouri,,,
